emisor;nombre_emisor;receptor;nombre_receptor;producto;color;tallas;codigo_producto;codigo_color;stock_inicial_receptor;stock_antes;aporte;stock_despues;cobertura_antes;cobertura_despues;url_foto
2094;ECI SAN JOSÉ VALDERAS;806;ECI POZUELO;261-SHORY.F;OFF WHITE M;T34, T36, T38, T40, T42;1105745;931;3;8.0;5.0;13.0;4;6;https://content.morgandetoi.fr/el-corte-ingles/1105745-931-F.jpg
805;ECI SERRANO PRINCESA;801;ECI PRECIADOS;261-RARAM.F;MULTICO;T34, T36, T38, T40, T42;1106507;900;2;2.0;5.0;7.0;2;7;https://content.morgandetoi.fr/el-corte-ingles/1106507-900-F.jpg
2020;ECI SALAMANCA;832;ECI MADRID GOYA;261-RARAM.F;MULTICO;T34, T36, T38, T40, T42;1106507;900;3;3.0;5.0;8.0;3;8;https://content.morgandetoi.fr/el-corte-ingles/1106507-900-F.jpg
2094;ECI SAN JOSÉ VALDERAS;801;ECI PRECIADOS;261-DFESTON;NOIR M;TM, TS, TXS;1105676;979;5;5.0;3.0;8.0;5;8;https://content.morgandetoi.fr/el-corte-ingles/1105676-979-F.jpg
806;ECI POZUELO;869;ECI ALCALA DE HENARES;261-DFESTON;NOIR M;TL, TM, TS, TXS;1105676;979;4;4.0;4.0;8.0;4;8;https://content.morgandetoi.fr/el-corte-ingles/1105676-979-F.jpg
2020;ECI SALAMANCA;803;ECI SANCHINARRO;261-DFESTON;NOIR M;TL, TM, TS;1105676;979;5;5.0;3.0;8.0;5;8;https://content.morgandetoi.fr/el-corte-ingles/1105676-979-F.jpg
857;ECI VALLADOLID ZORRILLA;1782;ECI CAMPO DE LAS NACIONES;261-DFESTON;NOIR M;TL, TM, TS, TXS;1105676;979;1;1.0;4.0;5.0;1;5;https://content.morgandetoi.fr/el-corte-ingles/1105676-979-F.jpg
845;ECI XANADU;1782;ECI CAMPO DE LAS NACIONES;261-DFESTON;NOIR M;TS;1105676;979;1;5.0;1.0;6.0;5;6;https://content.morgandetoi.fr/el-corte-ingles/1105676-979-F.jpg
845;ECI XANADU;857;ECI VALLADOLID ZORRILLA;261-RIKOOL;NAVAL ACADEMY;T40;1105794;1200;1;1.0;1.0;2.0;1;2;https://content.morgandetoi.fr/el-corte-ingles/1105794-1200-F.jpg
840;ECI BERCIAL;806;ECI POZUELO;261-DJUICY;BUBBLE M;TL, TM, TS, TXS;1105841;1166;2;2.0;4.0;6.0;2;6;https://content.morgandetoi.fr/el-corte-ingles/1105841-1166-F.jpg
805;ECI SERRANO PRINCESA;806;ECI POZUELO;261-DJUICY;BUBBLE M;TM, TS;1105841;1166;2;6.0;2.0;8.0;6;8;https://content.morgandetoi.fr/el-corte-ingles/1105841-1166-F.jpg
869;ECI ALCALA DE HENARES;801;ECI PRECIADOS;261-DJUICY;BUBBLE M;TL, TM, TS, TXS;1105841;1166;2;2.0;4.0;6.0;2;6;https://content.morgandetoi.fr/el-corte-ingles/1105841-1166-F.jpg
2094;ECI SAN JOSÉ VALDERAS;801;ECI PRECIADOS;261-DJUICY;BUBBLE M;TS;1105841;1166;2;6.0;1.0;7.0;6;7;https://content.morgandetoi.fr/el-corte-ingles/1105841-1166-F.jpg
832;ECI MADRID GOYA;803;ECI SANCHINARRO;261-DJUICY;BUBBLE M;TL, TM, TS;1105841;1166;2;2.0;3.0;5.0;2;5;https://content.morgandetoi.fr/el-corte-ingles/1105841-1166-F.jpg
2020;ECI SALAMANCA;803;ECI SANCHINARRO;261-DJUICY;BUBBLE M;TL, TM, TS;1105841;1166;2;5.0;3.0;8.0;5;8;https://content.morgandetoi.fr/el-corte-ingles/1105841-1166-F.jpg
